DATE,CAJAS
1/5/2015,10927.9
1/12/2015,-5151.8
1/19/2015,-4297.1
1/26/2015,-15830
2/2/2015,-24729.3
2/9/2015,-124743.6
2/16/2015,1143.7
2/23/2015,-9111.3
3/2/2015,-61533.7
3/9/2015,-32317.3
3/16/2015,-35570.7
3/23/2015,-14846.5
3/30/2015,-84173.2
4/6/2015,-9352.1
4/13/2015,-53300.3
4/20/2015,-22452
4/27/2015,-83171.5
5/4/2015,-40360
5/11/2015,4565.3
5/18/2015,-6014.1
5/25/2015,113.6
6/1/2015,-70913.6
6/8/2015,-25833.2
6/15/2015,-24627
6/22/2015,-11223.6
6/29/2015,-66330.1
7/6/2015,-69709.1
7/13/2015,-20520.6
7/20/2015,-15955.1
7/27/2015,-32642.6
8/3/2015,-78244
8/10/2015,-30227.6
8/17/2015,-44902.8
8/24/2015,-7176.1
8/31/2015,-71204.3
9/7/2015,-21909.6
9/14/2015,-16411.7
9/21/2015,-1262.3
9/28/2015,-48484.2
10/5/2015,-47055.1
10/12/2015,-5503.9
10/19/2015,-11869.2
10/26/2015,-41707.8
11/2/2015,-52991.6
11/9/2015,-14768.7
11/16/2015,-25024.4
11/23/2015,-14641.3
11/30/2015,-75567
12/7/2015,-42892.9
12/14/2015,-77069.7
12/21/2015,-159415
12/28/2015,-13779.5
1/4/2016,-28845
1/11/2016,-5648.4
1/18/2016,-14626
1/25/2016,-9302
2/1/2016,-90127.7
2/8/2016,-19916.3
2/15/2016,-465.3
2/22/2016,-3023.8
2/29/2016,-60461
3/7/2016,-25473.2
3/14/2016,-17045.9
3/21/2016,-26720.6
3/28/2016,-24245.8
4/4/2016,-71874.4
4/11/2016,-33853
4/18/2016,-83118.6
4/25/2016,-37976.5
5/2/2016,-84425.2
5/9/2016,-15578.8
5/16/2016,-16377.7
5/23/2016,-10115.8
5/30/2016,-69061
6/6/2016,-41733.3
6/13/2016,-30487.9
6/20/2016,-21657
6/27/2016,-39356.2
7/4/2016,-69240.1
7/11/2016,-16594.9
7/18/2016,-27014.5
7/25/2016,-12660.7
8/1/2016,-86457
8/8/2016,-31024.2
8/15/2016,-50203
8/22/2016,-22746.3
8/29/2016,-63769
9/5/2016,-46189.1
9/12/2016,-10449.7
9/19/2016,-16208.8
9/26/2016,-20181.3
10/3/2016,-75825.9
10/10/2016,-2652.6
10/17/2016,-33456.6
10/24/2016,-26218.3
10/31/2016,-73039.7
11/7/2016,-45217.2
11/14/2016,-37763
11/21/2016,-25725.9
11/28/2016,-72434.2
12/5/2016,-68201.1
12/12/2016,-67047.8
12/19/2016,-149928.7
12/26/2016,-65763.7
1/2/2017,-22711.5
1/9/2017,-9824.1
1/16/2017,-22224.8
1/23/2017,-5109.3
1/30/2017,-75901.3
2/6/2017,-41089.7
2/13/2017,-26957.3
2/20/2017,-45484.9
2/27/2017,-53239.8
3/6/2017,-30230.4
3/13/2017,-34079.9
3/20/2017,-24657.9
3/27/2017,-51111.8
4/3/2017,-81377.9
4/10/2017,-46352.4
4/17/2017,-43280.2
4/24/2017,-32295.2
5/1/2017,-77940.8
5/8/2017,-41506
5/15/2017,-18101.9
5/22/2017,-26884.2
5/29/2017,-64630.9
6/5/2017,-49745.9
6/12/2017,-26539.6
6/19/2017,-19960.9
6/26/2017,-33443.1
7/3/2017,-78371.1
7/10/2017,-22942
7/17/2017,-31309
7/24/2017,-13060
7/31/2017,-78206
8/7/2017,-34567.6
8/14/2017,-39381.2
8/21/2017,-19670.8
8/28/2017,-43378.1
9/4/2017,-60450.3
9/11/2017,-1169.4
9/18/2017,-12550.5
9/25/2017,-2336.4
10/2/2017,-77654.5
10/9/2017,-15909.3
10/16/2017,-19534.7
10/23/2017,-6221.8
10/30/2017,-66091.9
11/6/2017,-40900.1
11/13/2017,-18131.8
11/20/2017,-19900.1
11/27/2017,-40041
12/4/2017,-65726.4
12/11/2017,-40920.3
12/18/2017,-121564.6
12/25/2017,-29226.1
1/1/2018,-13628.3
1/8/2018,369.1
1/15/2018,-1913.2
1/22/2018,-2187.8
1/29/2018,-51605.2
2/5/2018,-51259.8
2/12/2018,-7800.6
2/19/2018,3120.7
2/26/2018,-40177.1
3/5/2018,-44195.7
3/12/2018,-27710.4
3/19/2018,-19463.4
3/26/2018,-17256.1
4/2/2018,-58108.8
4/9/2018,-29305.1
4/16/2018,-40975.6
4/23/2018,-20853.5
4/30/2018,-66055.4
5/7/2018,-29039.9
5/14/2018,-11907.4
5/21/2018,-18171.6
5/28/2018,-41711
6/4/2018,-67987.2
6/11/2018,-19938.3
6/18/2018,-19529.3
6/25/2018,-29988
7/2/2018,-77841.3
7/9/2018,-22084.9
7/16/2018,-27837
7/23/2018,-18660.1
7/30/2018,-70535.3
8/6/2018,-33672.3
8/13/2018,-46354
8/20/2018,-17671
8/27/2018,-18753.1
9/3/2018,-54561
9/10/2018,-11406
9/17/2018,-15304.5
9/24/2018,-22880.4
10/1/2018,-58268.9
10/8/2018,-15485.8
10/15/2018,-19727.1
10/22/2018,-7668.9
10/29/2018,-40566.1
11/5/2018,-46682.6
11/12/2018,-21039.4
11/19/2018,-18553.6
11/26/2018,-21563.4
12/3/2018,-72793.3
12/10/2018,-37490.4
12/17/2018,-110548.7
12/24/2018,-42775.6
12/31/2018,-12077
1/7/2019,16964.8
1/14/2019,2751.1
1/21/2019,5676.2
1/28/2019,-20196.4
2/4/2019,-34853.5
2/11/2019,-6409.2
2/18/2019,-4501.3
2/25/2019,-38361.8
3/4/2019,-23983
3/11/2019,-2396.7
3/18/2019,-13963.4
3/25/2019,7953.7
4/1/2019,-50903.2
4/8/2019,-20788.3
4/15/2019,-79184.8
4/22/2019,41326.2
4/29/2019,-40531.2
5/6/2019,-38466.3
5/13/2019,-11467.5
5/20/2019,-8598.2
5/27/2019,-24066.1
6/3/2019,-65602.2
6/10/2019,-29277.9
6/17/2019,-21074.5
6/24/2019,-9834
7/1/2019,-61025.2
7/8/2019,-15960.1
7/15/2019,-13078.8
7/22/2019,-22285.9
7/29/2019,-44147.3
8/5/2019,-7231.6
8/12/2019,-128114
8/19/2019,-44558.4
8/26/2019,-881.3
9/2/2019,-33333.6
9/9/2019,1309.5
9/16/2019,-1933.2
9/23/2019,10966.7
9/30/2019,-60167.2
10/7/2019,-40560.3
10/14/2019,-9305.5
10/21/2019,5333.2
10/28/2019,-26698.3
11/4/2019,-32863.1
11/11/2019,-7126.8
11/18/2019,-11146.6
11/25/2019,-11403.7
12/2/2019,-57526.1
12/9/2019,-18021.8
12/16/2019,-71928.8
12/23/2019,-34788.3
12/30/2019,-7681.2
1/6/2020,22320.8
1/13/2020,11923.4
1/20/2020,10495.2
1/27/2020,317.6
2/3/2020,-33466.9
2/10/2020,-6918.9
2/17/2020,-11990.6
2/24/2020,7765.5
3/2/2020,-30398.2
3/9/2020,-21403.3
3/16/2020,-91184.1
3/23/2020,-26400.9
3/30/2020,-41420.4
4/6/2020,-21850.8
4/13/2020,-25745.2
4/20/2020,-51634.6
4/27/2020,-19658.5
5/4/2020,-26919.5
5/11/2020,16138.4
5/18/2020,4766.9
5/25/2020,15130.3
6/1/2020,3763.8
6/8/2020,32409.5
6/15/2020,29550.3
6/22/2020,37166
6/29/2020,20490.7
