FECHA,monetarios,ahorros,vista,obligaciones
12/1/2006,1011461.2,857670.545,1869131.745,2304082.354
1/1/2007,967248.2536,861035.491,1828283.745,2273727.683
2/1/2007,937582.7577,855897.4149,1793480.173,2263981.736
3/1/2007,950740.6002,851397.9504,1802138.551,2275484.571
4/1/2007,976860.6598,907403.4652,1884264.125,2390295.863
5/1/2007,999814.3368,906604.6189,1906418.956,2394855.714
6/1/2007,1001500.752,913152.9096,1914653.662,2473721.341
7/1/2007,1026068.671,900938.974,1927007.645,2496659.735
8/1/2007,1046823.67,949694.3733,1996518.044,2562048.993
9/1/2007,1075034.356,941014.5791,2016048.935,2596331.597
10/1/2007,1107978.515,946612.9003,2054591.416,2653037.949
11/1/2007,1139128.841,993150.7779,2132279.618,2739982.455
12/1/2007,1219404.991,1046039.641,2265444.632,2884426.007
1/1/2008,1166118.867,1043222.299,2209341.165,2887692.855
2/1/2008,1156837.371,1048276.578,2205113.949,2927874.943
3/1/2008,1218733.284,1056005.617,2274738.9,3013957.894
4/1/2008,1274941.847,1175153.091,2450094.938,3250817.706
5/1/2008,1279057.706,1168010.4,2447068.107,3250532.48
6/1/2008,1264539.137,1163876.347,2428415.484,3250437.755
7/1/2008,1283822.411,1171100.159,2454922.57,3263571.657
8/1/2008,1409321.639,1217987.775,2627309.414,3486483.833
9/1/2008,1341095.344,1199014.631,2540109.975,3456302.302
10/1/2008,1442724.853,1244157.801,2686882.654,3584032.606
11/1/2008,1535539.807,1262652.006,2798191.813,3680946.881
12/1/2008,1556423.791,1257015.491,2813439.282,3634891.462
1/1/2009,1437369.916,1212232.886,2649602.802,3509954.879
2/1/2009,1432762.99,1207333.574,2640096.564,3505616.664
3/1/2009,1413852.07,1165189.747,2579041.817,3476174.693
4/1/2009,1366194.355,1297487.027,2663681.382,3553152.347
5/1/2009,1431054.994,1257661.976,2688716.97,3617074.995
6/1/2009,1386757.981,1234612.67,2621370.651,3534580.117
7/1/2009,1403455.099,1314048.002,2717503.101,3616848.994
8/1/2009,1402209.309,1299468.631,2701677.939,3648853.405
9/1/2009,1382643.844,1291026.462,2673670.306,3631668.286
10/1/2009,1391449.338,1339908.448,2731357.787,3671596.175
11/1/2009,1480692.683,1308838.835,2789531.518,3785025.196
12/1/2009,1578845.406,1492690.486,3071535.892,3946832.436
1/1/2010,1607470.159,1432665.945,3040136.104,4012352.164
2/1/2010,1583286.793,1430513.132,3013799.926,4018750.501
3/1/2010,1640317.232,1439539.723,3079856.955,4086262.857
4/1/2010,1628733.796,1562336.337,3191070.133,4196776.09
5/1/2010,1676165.263,1539715.139,3215880.401,4222926.032
6/1/2010,1702355.65,1538689.24,3241044.89,4175568.839
7/1/2010,1701353.771,1559433.376,3260787.147,4224121.527
8/1/2010,1733635.099,1567894.554,3301529.653,4190628.884
9/1/2010,1711695.887,1555502.234,3267198.122,4184195.1
10/1/2010,1832137.029,1598339.126,3430476.154,4386149.688
11/1/2010,1884008.752,1642258.856,3526267.608,4475312.008
12/1/2010,1925435.912,1804387.263,3729823.175,4663425.721
1/1/2011,1874023.264,1702298.069,3576321.333,4543277.046
2/1/2011,1980795.22,1726651.901,3707447.121,4720338.87
3/1/2011,2014373.29,1772218.431,3786591.721,4787795.913
4/1/2011,1982669.907,1962402.304,3945072.211,4933511.346
5/1/2011,1984011.6,1914442.062,3898453.661,4940000.246
6/1/2011,2017216.277,1888949.922,3906166.199,4964978.914
7/1/2011,2025198.098,1936060.945,3961259.043,5056614.447
8/1/2011,2029961.515,1923956.198,3953917.713,5093166.816
9/1/2011,2049766.067,1899764.109,3949530.176,5184604.591
10/1/2011,2020967.82,1859361.89,3880329.71,5183138.063
11/1/2011,2016991.768,1815500.624,3832492.392,5105746.559
12/1/2011,2132808.619,2011284.056,4144092.675,5373266.589
1/1/2012,2174619.73,1956268.371,4130888.101,5509992.344
2/1/2012,2166643.428,1957232.635,4123876.063,5518156.071
3/1/2012,2262286.336,1994244.548,4256530.884,5702694.404
4/1/2012,2223598.229,2086107.703,4309705.932,5889616.047
5/1/2012,2285594.042,2088787.116,4374381.158,5899964.37
6/1/2012,2211854.482,2053228.794,4265083.276,5827978.905
7/1/2012,2212470.418,2086254.933,4298725.351,5902156.672
8/1/2012,2173631.183,2173579.541,4347210.724,5949400.697
9/1/2012,2171847.554,2121386.492,4293234.046,5902599.8
10/1/2012,2185188.373,2096399.464,4281587.837,5979171.456
11/1/2012,2198912.268,2097175.98,4296088.248,6024901.65
12/1/2012,2448137.077,2293095.378,4741232.454,6489978.315
1/1/2013,2379504.862,2182693.687,4562198.549,6254807.594
2/1/2013,2345980.125,2202413.359,4548393.484,6283442.145
3/1/2013,2385704.208,2263483.126,4649187.334,6365748.909
4/1/2013,2255299.927,2394746.399,4650046.326,6439183.743
5/1/2013,2410898.654,2374489.964,4785388.617,6550845.983
6/1/2013,2407388.506,2406941.157,4814329.663,6613084.395
7/1/2013,2380286.957,2393500.696,4773787.653,6580513.38
8/1/2013,2371700.582,2453467.292,4825167.873,6636378
9/1/2013,2295391.28,2374179.255,4669570.534,6537099.625
